task,sigma_max,sigma_eval,n_training_seeds,clean_success_mean,clean_success_sd,stress_success_mean,stress_success_sd,retention_pp_mean,retention_pp_sd,relative_ir_mean,relative_ir_sd,sr_mean,sr_sd,ir_pass_count,joint_pass_count,natural_sr_veto_count
Cube,0.5,0.16,3,55.555566666666664,0.19245971298488176,55.1111111111,1.1706281947440127,-0.4444555555666672,1.0183537915238992,0.018776355167361924,0.001349569211572174,1.0,0.0,3,3,0
Cube,0.5,0.32,3,55.555566666666664,0.19245971298488176,55.8889,0.8388859457637844,0.3333333333333333,0.8819171037133967,0.03512831553689972,0.003615938104366768,1.0,0.0,3,3,0
Cube,0.5,0.64,3,55.555566666666664,0.19245971298488176,55.8888888889,1.924500897279506,0.33332222223333474,1.7320411850964623,0.07666583588039505,0.008258287421816057,0.9933332999547323,0.005773531598612731,3,3,0
Cube,0.7,0.08,3,56.666677777766665,1.7638153091501938,57.55554444443334,1.5752848067994962,0.8888666666666675,1.6442785206081527,0.008301512858163345,0.00017748803028859138,1.0,0.0,3,3,0
Cube,0.7,0.16,3,56.666677777766665,1.7638153091501938,56.88888888886667,1.7105338131305552,0.22221111109999944,0.8388682854894458,0.01534588580163832,0.00036497167296606147,1.0,0.0,3,3,0
Cube,0.7,0.32,3,56.666677777766665,1.7638153091501938,56.55554444443334,1.347165749242955,-0.11113333333333249,0.8388395873665806,0.028200421553724455,0.0006001725654765331,1.0,0.0,3,3,0
Cube,0.7,0.64,3,56.666677777766665,1.7638153091501938,55.0000111111,1.8559364214216112,-1.6666666666666667,3.2829526005902396,0.053516055642677085,0.0018521070130023548,0.9966666499773661,0.005773531598612731,3,3,0
Cube,1.0,0.08,3,54.555566666666664,1.8358397009875942,54.2222111111,1.64431343332103,-0.3333555555666668,1.000000000690736,0.007228866342073995,0.0006167322115367294,1.0,0.0,3,3,0
Cube,1.0,0.16,3,54.555566666666664,1.8358397009875942,54.666666666666664,0.3333333333500015,0.11110000000000042,2.0366821240329944,0.01349985951603372,0.0008210272959281519,1.0,0.0,3,3,0
Cube,1.0,0.32,3,54.555566666666664,1.8358397009875942,53.22223333333333,1.8953998894750985,-1.3333333333333333,2.1858128413679117,0.024638067793826116,0.0021323759314021986,1.0,0.0,3,3,0
Cube,1.0,0.64,3,54.555566666666664,1.8358397009875942,55.55554444443334,1.9531740550276946,0.9999777777666665,0.5773695151127005,0.04270037102905603,0.0014972137188826058,1.0,0.0,3,3,0
Cube,1.5,0.08,3,52.66665555553333,1.5275397795487022,54.555566666666664,0.19245971298488176,1.8889111111333345,1.7105619613838403,0.007077619471348061,0.0002193097723690596,1.0,0.0,3,3,0
Cube,1.5,0.16,3,52.66665555553333,1.5275397795487022,52.22223333333333,1.6777255327774372,-0.4444222221999989,0.19241159973117747,0.013304602409768823,0.00041867664948851916,1.0,0.0,3,3,0
Cube,1.5,0.32,3,52.66665555553333,1.5275397795487022,52.444433333333336,1.5030844830991148,-0.22222222219999802,1.1706281947440127,0.02497361160546564,0.002312064924439485,1.0,0.0,3,3,0
Cube,1.5,0.64,3,52.66665555553333,1.5275397795487022,52.0,1.7320508075688772,-0.6666555555333318,3.2145623514568347,0.04297283843924663,0.0031935634195005827,0.9966666499773661,0.005773531598612731,3,3,0
